Country/Region,Confirmed,Recovered,Deaths,Mortality,Recovery,Active Cases,Closed Cases,Confirm Cases/Day,Survival Probability,Clusters
US,2590651.0,705203.0,126140.0,4.869046428870581,27.221073004430167,1759308.0,831343.0,16191.56875,95.13095357112942,0
Brazil,1368195.0,757811.0,58314.0,4.262111760385033,55.387645766868026,552070.0,816125.0,10858.690476190475,95.73788823961495,0
Russia,640246.0,402778.0,9152.0,1.4294505549429442,62.909881514292934,228316.0,411930.0,4268.306666666666,98.57054944505705,2
India,566840.0,334822.0,16893.0,2.980206054618588,59.068167384094274,215125.0,351715.0,3729.2105263157896,97.01979394538141,0
United Kingdom,313470.0,1368.0,43659.0,13.927648578811366,0.4364053976457077,268443.0,45027.0,2824.054054054054,86.07235142118863,1
Peru,282365.0,171159.0,9504.0,3.365856249889328,60.61622368211358,101702.0,180663.0,2434.1810344827586,96.63414375011068,0
Chile,275999.0,236154.0,5575.0,2.0199348548364298,85.5633534904112,34270.0,241729.0,2319.3193277310925,97.98006514516358,2
Spain,248970.0,150376.0,28346.0,11.385307466763065,60.39924488894244,70248.0,178722.0,1659.8,88.61469253323695,1
Italy,240436.0,189196.0,34744.0,14.450415079272654,78.68871550017468,16496.0,223940.0,1592.291390728477,85.54958492072736,1
Iran,225205.0,186180.0,10670.0,4.737905463910659,82.67134388668103,28355.0,196850.0,1719.1221374045801,95.26209453608935,2
Mexico,220657.0,170147.0,27121.0,12.291021812133765,77.10926913716763,23389.0,197268.0,1779.4919354838707,87.70897818786624,1
Pakistan,209337.0,98503.0,4304.0,2.056014942413429,47.054749041019974,106530.0,102807.0,1674.6960000000001,97.94398505758656,0
France,201522.0,76124.0,29816.0,14.79540695308701,37.7745357826937,95582.0,105940.0,1275.4556962025315,85.20459304691299,1
Turkey,198613.0,171809.0,5115.0,2.575360122449185,86.50440806996521,21689.0,176924.0,1789.3063063063064,97.42463987755082,2
Germany,195042.0,177770.0,8976.0,4.6020857046174655,91.14447144717549,8296.0,186746.0,1266.5064935064936,95.39791429538252,2
Saudi Arabia,186436.0,127118.0,1599.0,0.8576669741895342,68.18318350533157,57719.0,128717.0,1553.6333333333334,99.14233302581049,2
South Africa,144264.0,70614.0,2529.0,1.7530361004824488,48.947762435534855,71121.0,73143.0,1233.025641025641,98.24696389951755,0
Bangladesh,141801.0,57780.0,1783.0,1.2573959280964169,40.747244377684225,82238.0,59563.0,1243.8684210526314,98.74260407190359,0
Canada,105830.0,68698.0,8628.0,8.152697722762921,64.9135405839554,28504.0,77326.0,678.3974358974359,91.84730227723708,2
Qatar,95106.0,80170.0,113.0,0.11881479612222152,84.2954177444115,14823.0,80283.0,779.5573770491803,99.88118520387778,2
Colombia,91995.0,38345.0,3256.0,3.5393227892820263,41.68161313114843,50394.0,41601.0,786.2820512820513,96.46067721071799,0
Mainland China,84780.0,79619.0,4641.0,5.474168435951875,93.91247935833924,520.0,84260.0,529.875,94.52583156404812,2
Sweden,67667.0,0.0,5310.0,7.8472519839803745,0.0,62357.0,5310.0,448.1258278145696,92.15274801601964,0
Egypt,66754.0,17951.0,2872.0,4.302363903286695,26.891272433112626,45931.0,20823.0,487.2554744525547,95.6976360967133,0
Argentina,62268.0,21138.0,1280.0,2.05563050041755,33.946810560801694,39850.0,22418.0,523.2605042016806,97.94436949958245,0
Belarus,61790.0,45213.0,387.0,0.6263149376921833,73.17203430975886,16190.0,45600.0,502.3577235772358,99.3736850623078,2
Belgium,61361.0,16941.0,9732.0,15.860236958328581,27.60874170890305,34688.0,26673.0,417.421768707483,84.13976304167144,1
Ecuador,55665.0,27430.0,4502.0,8.087667295428007,49.27692445881614,23733.0,31932.0,460.0413223140496,91.912332704572,0
Indonesia,55092.0,23800.0,2805.0,5.091483336963623,43.200464677267114,28487.0,26605.0,459.1,94.90851666303637,0
Netherlands,50433.0,186.0,6126.0,12.146808637201831,0.3688061388376658,44121.0,6312.0,406.7177419354838,87.85319136279817,1
United Arab Emirates,48246.0,37076.0,314.0,0.6508311569871078,76.8478215810637,10856.0,37390.0,315.3333333333333,99.34916884301286,2
Iraq,47151.0,22974.0,1839.0,3.9002354138830566,48.724311255328615,22338.0,24813.0,368.3671875,96.09976458611696,0
Kuwait,45524.0,36313.0,350.0,0.7688252350408575,79.76671645725331,8861.0,36663.0,358.45669291338584,99.23117476495915,2
Ukraine,44538.0,19679.0,1161.0,2.606762764380978,44.18474111994252,23698.0,20840.0,374.2689075630252,97.39323723561905,0
Singapore,43661.0,37985.0,26.0,0.05954971255811824,86.9998396738508,5650.0,38011.0,274.5974842767296,99.94045028744188,2
Portugal,41912.0,27205.0,1568.0,3.741171979385379,64.90981103263982,13139.0,28773.0,349.26666666666665,96.25882802061463,2
Oman,39060.0,22422.0,169.0,0.4326676907322069,57.40399385560678,16469.0,22591.0,307.5590551181102,99.56733230926778,0
Philippines,36438.0,9956.0,1255.0,3.444206597508096,27.32312421098853,25227.0,11211.0,238.15686274509804,96.55579340249191,0
Poland,34154.0,20897.0,1444.0,4.227908883293319,61.18463430344908,11813.0,22341.0,289.4406779661017,95.77209111670669,0
Panama,32785.0,15595.0,620.0,1.8911087387524783,47.567485130395,16570.0,16215.0,292.7232142857143,98.10889126124752,0
Bolivia,32125.0,8928.0,1071.0,3.333852140077821,27.79143968871595,22126.0,9999.0,289.41441441441435,96.66614785992218,0
Dominican Republic,31816.0,17280.0,733.0,2.3038722655267794,54.31229570027659,13803.0,18013.0,262.94214876033055,97.69612773447321,0
Switzerland,31652.0,29100.0,1962.0,6.1986604322001755,91.93731833691395,590.0,31062.0,251.2063492063492,93.80133956779983,2
Afghanistan,31238.0,13934.0,733.0,2.34650105640566,44.605928676611825,16571.0,14667.0,245.96850393700785,97.65349894359434,0
Romania,26582.0,18912.0,1634.0,6.14701677827101,71.14588819501921,6036.0,20546.0,212.65599999999998,93.85298322172899,2
Bahrain,26239.0,20928.0,84.0,0.32013415145394264,79.75913716223941,5227.0,21012.0,206.60629921259843,99.67986584854607,2
Ireland,25462.0,23364.0,1735.0,6.814075877778651,91.76027020658236,363.0,25099.0,208.70491803278688,93.18592412222135,2
Nigeria,25133.0,9402.0,573.0,2.2798710858234195,37.40898420403453,15158.0,9975.0,204.33333333333331,97.72012891417658,0
Armenia,25127.0,13297.0,433.0,1.7232459107732718,52.919170613284514,11397.0,13730.0,207.6611570247934,98.27675408922673,0
Israel,24441.0,17218.0,319.0,1.3051839122785485,70.44719937809418,6904.0,17537.0,188.0076923076923,98.69481608772145,2
Kazakhstan,21819.0,13008.0,188.0,0.86163435537834,59.61776433383749,8623.0,13196.0,200.1743119266055,99.13836564462166,0
Honduras,18818.0,1961.0,485.0,2.5773195876288657,10.420873631629293,16372.0,2446.0,169.53153153153153,97.42268041237114,0
Japan,18476.0,16388.0,972.0,5.260878978133794,88.69885256549036,1116.0,17360.0,115.475,94.73912102186621,2
Austria,17723.0,16420.0,703.0,3.9665970772442587,92.64797156237655,600.0,17123.0,140.65873015873015,96.03340292275574,2
Guatemala,17409.0,3170.0,746.0,4.28513987018209,18.208972370612898,13493.0,3916.0,161.19444444444446,95.71486012981792,0
Ghana,17351.0,12994.0,112.0,0.6454959368336121,74.88905538585671,4245.0,13106.0,160.6574074074074,99.3545040631664,2
Azerbaijan,16968.0,9369.0,206.0,1.214049976426214,55.21570014144272,7393.0,9575.0,140.2314049586777,98.7859500235738,0
Moldova,16357.0,9229.0,536.0,3.2768845142752334,56.42232683254876,6592.0,9765.0,144.75221238938053,96.72311548572478,0
Serbia,14288.0,12581.0,274.0,1.917693169092945,88.05291153415453,1433.0,12855.0,123.17241379310344,98.08230683090706,2
Algeria,13571.0,9674.0,905.0,6.668631640999188,71.2843563480952,2992.0,10579.0,107.7063492063492,93.33136835900079,2
Nepal,13248.0,3134.0,29.0,0.2189009661835749,23.656400966183572,10085.0,3163.0,84.38216560509555,99.78109903381642,0
Denmark,12951.0,11812.0,605.0,4.671453941780556,91.20531233109413,534.0,12417.0,104.44354838709677,95.32854605821943,2
"Korea, South",12800.0,11537.0,282.0,2.203125,90.1328125,981.0,11819.0,115.3153153153153,97.796875,2
Cameroon,12592.0,10100.0,313.0,2.485705209656925,80.20965692503177,2179.0,10413.0,108.55172413793105,97.51429479034307,2
Morocco,12290.0,8833.0,225.0,1.8307567127746132,71.8714401952807,3232.0,9058.0,102.41666666666669,98.16924328722538,2
Czechia,11805.0,7746.0,348.0,2.9479034307496823,65.61626429479034,3711.0,8094.0,106.35135135135135,97.05209656925031,2
Sudan,9257.0,4014.0,572.0,6.179107702279357,43.36178027438695,4671.0,4586.0,84.92660550458716,93.82089229772065,0
Cote d'Ivoire,9214.0,3996.0,66.0,0.7163012806598654,43.36878662904276,5152.0,4062.0,83.009009009009,99.28369871934014,0
