ObservationDate,Confirmed,Recovered,Deaths,Days Since,WeekOfYear,Mortality Rate,Recovery Rate,Active Cases,Closed Cases
2020-01-22,555.0,28.0,17.0,0 days 00:00:00.000000000,4,3.063063063063063,5.045045045045045,510.0,45.0
2020-01-23,653.0,30.0,18.0,1 days 00:00:00.000000000,4,2.756508422664625,4.594180704441041,605.0,48.0
2020-01-24,941.0,36.0,26.0,2 days 00:00:00.000000000,4,2.763018065887354,3.825717321997875,879.0,62.0
2020-01-25,1438.0,39.0,42.0,3 days 00:00:00.000000000,4,2.920723226703755,2.7121001390820583,1357.0,81.0
2020-01-26,2118.0,52.0,56.0,4 days 00:00:00.000000000,4,2.644003777148253,2.4551463644948064,2010.0,108.0
2020-01-27,2927.0,61.0,82.0,5 days 00:00:00.000000000,5,2.801503245644004,2.0840450973693203,2784.0,143.0
2020-01-28,5578.0,107.0,131.0,6 days 00:00:00.000000000,5,2.3485120114736464,1.9182502689135892,5340.0,238.0
2020-01-29,6165.0,126.0,133.0,7 days 00:00:00.000000000,5,2.1573398215733985,2.0437956204379564,5906.0,259.0
2020-01-30,8235.0,143.0,171.0,8 days 00:00:00.000000000,5,2.0765027322404372,1.7364905889496054,7921.0,314.0
2020-01-31,9925.0,222.0,213.0,9 days 00:00:00.000000000,5,2.146095717884131,2.2367758186397984,9490.0,435.0
2020-02-01,12038.0,284.0,259.0,10 days 00:00:00.000000000,5,2.1515201860774216,2.3591958797142385,11495.0,543.0
2020-02-02,16787.0,472.0,362.0,11 days 00:00:00.000000000,5,2.1564305712753917,2.8116995293977483,15953.0,834.0
2020-02-03,19881.0,623.0,426.0,12 days 00:00:00.000000000,6,2.142749358684171,3.1336451888737993,18832.0,1049.0
2020-02-04,23892.0,852.0,492.0,13 days 00:00:00.000000000,6,2.059266700150678,3.566047212456052,22548.0,1344.0
2020-02-05,27636.0,1124.0,564.0,14 days 00:00:00.000000000,6,2.0408163265306123,4.06715877840498,25948.0,1688.0
2020-02-06,30818.0,1487.0,634.0,15 days 00:00:00.000000000,6,2.057239275747939,4.825102212992407,28697.0,2121.0
2020-02-07,34392.0,2011.0,719.0,16 days 00:00:00.000000000,6,2.0906024656896953,5.847290067457548,31662.0,2730.0
2020-02-08,37121.0,2616.0,806.0,17 days 00:00:00.000000000,6,2.1712777134236685,7.047223943320493,33699.0,3422.0
2020-02-09,40151.0,3244.0,906.0,18 days 00:00:00.000000000,6,2.256481781275684,8.07949988792309,36001.0,4150.0
2020-02-10,42763.0,3946.0,1013.0,19 days 00:00:00.000000000,7,2.368870285059514,9.227603301919885,37804.0,4959.0
2020-02-11,44803.0,4683.0,1113.0,20 days 00:00:00.000000000,7,2.4842086467424056,10.45242506082182,39007.0,5796.0
2020-02-12,45222.0,5150.0,1118.0,21 days 00:00:00.000000000,7,2.4722480208747957,11.38826235018354,38954.0,6268.0
2020-02-13,60370.0,6295.0,1371.0,22 days 00:00:00.000000000,7,2.270995527579924,10.427364585058804,52704.0,7666.0
2020-02-14,66887.0,8058.0,1523.0,23 days 00:00:00.000000000,7,2.276974598950469,12.04718405669263,57306.0,9581.0
2020-02-15,69032.0,9395.0,1666.0,24 days 00:00:00.000000000,7,2.4133735079383474,13.609630316375016,57971.0,11061.0
2020-02-16,71226.0,10865.0,1770.0,25 days 00:00:00.000000000,7,2.4850475949793616,15.254261084435457,58591.0,12635.0
2020-02-17,73260.0,12583.0,1868.0,26 days 00:00:00.000000000,8,2.54982254982255,17.175812175812176,58809.0,14451.0
2020-02-18,75138.0,14352.0,2007.0,27 days 00:00:00.000000000,8,2.6710852032260637,19.100854427852752,58779.0,16359.0
2020-02-19,75641.0,16121.0,2122.0,28 days 00:00:00.000000000,8,2.8053568831718247,21.312515699157863,57398.0,18243.0
2020-02-20,76199.0,18177.0,2247.0,29 days 00:00:00.000000000,8,2.9488575965563855,23.854643761729157,55775.0,20424.0
2020-02-21,76843.0,18890.0,2251.0,30 days 00:00:00.000000000,8,2.929349452780344,24.58259047668623,55702.0,21141.0
2020-02-22,78599.0,22886.0,2458.0,31 days 00:00:00.000000000,8,3.1272662502067456,29.1174187966768,53255.0,25344.0
2020-02-23,78985.0,23394.0,2469.0,32 days 00:00:00.000000000,8,3.125909982908147,29.61828195226942,53122.0,25863.0
2020-02-24,79570.0,25227.0,2629.0,33 days 00:00:00.000000000,9,3.304009048636421,31.704159859243436,51714.0,27856.0
2020-02-25,80415.0,27905.0,2708.0,34 days 00:00:00.000000000,9,3.367530933283591,34.701237331343656,49802.0,30613.0
2020-02-26,81397.0,30384.0,2770.0,35 days 00:00:00.000000000,9,3.4030738233595836,37.32815705738541,48243.0,33154.0
2020-02-27,82756.0,33277.0,2814.0,36 days 00:00:00.000000000,9,3.4003576779931364,40.210981681086565,46665.0,36091.0
2020-02-28,84124.0,36711.0,2872.0,37 days 00:00:00.000000000,9,3.4140078931101705,43.63915172840093,44541.0,39583.0
2020-02-29,86013.0,39782.0,2941.0,38 days 00:00:00.000000000,9,3.4192505784009395,46.25114808226664,43290.0,42723.0
2020-03-01,88371.0,42716.0,2996.0,39 days 00:00:00.000000000,9,3.3902524583856697,48.33712416969368,42659.0,45712.0
2020-03-02,90309.0,45602.0,3085.0,40 days 00:00:00.000000000,10,3.416049341704592,50.495520933683245,41622.0,48687.0
2020-03-03,92844.0,48229.0,3160.0,41 days 00:00:00.000000000,10,3.4035586575330665,51.946275472836156,41455.0,51389.0
2020-03-04,95124.0,51171.0,3254.0,42 days 00:00:00.000000000,10,3.4207981161431396,53.793995206257094,40699.0,54425.0
2020-03-05,97886.0,53797.0,3348.0,43 days 00:00:00.000000000,10,3.4203052530494658,54.95882965899107,40741.0,57145.0
2020-03-06,101800.0,55866.0,3460.0,44 days 00:00:00.000000000,10,3.398821218074656,54.87819253438114,42474.0,59326.0
2020-03-07,105836.0,58359.0,3558.0,45 days 00:00:00.000000000,10,3.3618050568804563,55.14097282588155,43919.0,61917.0
2020-03-08,109835.0,60695.0,3803.0,46 days 00:00:00.000000000,10,3.462466426913097,55.26016297173032,45337.0,64498.0
2020-03-09,113582.0,62512.0,3996.0,47 days 00:00:00.000000000,11,3.518163089221884,55.0368896480076,47074.0,66508.0
2020-03-10,118582.0,64404.0,4262.0,48 days 00:00:00.000000000,11,3.5941373901603955,54.31178425056079,49916.0,68666.0
2020-03-11,125865.0,67003.0,4615.0,49 days 00:00:00.000000000,11,3.6666269415643744,53.23402057760299,54247.0,71618.0
2020-03-12,128343.0,68324.0,4720.0,50 days 00:00:00.000000000,11,3.6776450605019364,53.23547057494371,55299.0,73044.0
2020-03-13,145193.0,70251.0,5404.0,51 days 00:00:00.000000000,11,3.721942517889981,48.384563994131945,69538.0,75655.0
2020-03-14,156099.0,72624.0,5819.0,52 days 00:00:00.000000000,11,3.727762509689364,46.52432110391482,77656.0,78443.0
2020-03-15,167447.0,76034.0,6440.0,53 days 00:00:00.000000000,11,3.845993060490782,45.40780067722922,84973.0,82474.0
2020-03-16,181546.0,78088.0,7126.0,54 days 00:00:00.000000000,12,3.925175988454717,43.01279014684983,96332.0,85214.0
2020-03-17,197168.0,80840.0,7905.0,55 days 00:00:00.000000000,12,4.009271281343828,41.0005680434959,108423.0,88745.0
2020-03-18,214915.0,83313.0,8733.0,56 days 00:00:00.000000000,12,4.063466952050811,38.76555847660703,122869.0,92046.0
2020-03-19,242713.0,84962.0,9867.0,57 days 00:00:00.000000000,12,4.065295225224854,35.00512951510632,147884.0,94829.0
2020-03-20,272167.0,87403.0,11299.0,58 days 00:00:00.000000000,12,4.151495221683746,32.11373899113412,173465.0,98702.0
2020-03-21,304549.0,91676.0,12973.0,59 days 00:00:00.000000000,12,4.2597414537562095,30.10221672046206,199900.0,104649.0
2020-03-22,337122.0,97243.0,14623.0,60 days 00:00:00.000000000,12,4.33759885145437,28.845047193597573,225256.0,111866.0
2020-03-23,378283.0,100958.0,16497.0,61 days 00:00:00.000000000,13,4.361020717293666,26.68848454728338,260828.0,117455.0
2020-03-24,417962.0,107699.0,18615.0,62 days 00:00:00.000000000,13,4.453754169039291,25.76765351874094,291648.0,126314.0
2020-03-25,467594.0,113764.0,21181.0,63 days 00:00:00.000000000,13,4.5297843855994735,24.3296535028251,332649.0,134945.0
2020-03-26,529591.0,122144.0,23970.0,64 days 00:00:00.000000000,13,4.5261343187478635,23.063836054615734,383477.0,146114.0
2020-03-27,593291.0,130909.0,27198.0,65 days 00:00:00.000000000,13,4.584259663470371,22.064888899376527,435184.0,158107.0
2020-03-28,660693.0,139409.0,30652.0,66 days 00:00:00.000000000,13,4.6393710846035905,21.1004203162437,490632.0,170061.0
2020-03-29,720140.0,149076.0,33925.0,67 days 00:00:00.000000000,13,4.710889549254311,20.700974810453523,537139.0,183001.0
2020-03-30,782389.0,164560.0,37582.0,68 days 00:00:00.000000000,14,4.803492891643415,21.03301554597521,580247.0,202142.0
2020-03-31,857487.0,178028.0,42107.0,69 days 00:00:00.000000000,14,4.910511762860545,20.76159755191624,637352.0,220135.0
2020-04-01,932605.0,193171.0,46809.0,70 days 00:00:00.000000000,14,5.019166742618793,20.713056438685186,692625.0,239980.0
2020-04-02,1013303.0,210263.0,52983.0,71 days 00:00:00.000000000,14,5.228742044580939,20.750259300525116,750057.0,263246.0
2020-04-03,1095917.0,225796.0,58787.0,72 days 00:00:00.000000000,14,5.364183601495369,20.60338511036876,811334.0,284583.0
2020-04-04,1197408.0,246152.0,64606.0,73 days 00:00:00.000000000,14,5.395487586520217,20.557069937732166,886650.0,310758.0
2020-04-05,1272115.0,260012.0,69374.0,74 days 00:00:00.000000000,14,5.453437778817167,20.43934707160909,942729.0,329386.0
2020-04-06,1345101.0,276515.0,74565.0,75 days 00:00:00.000000000,15,5.543449897070926,20.557192359532852,994021.0,351080.0
2020-04-07,1426096.0,300054.0,81865.0,76 days 00:00:00.000000000,15,5.740497133432813,21.040238525316667,1044177.0,381919.0
2020-04-08,1511104.0,328661.0,88338.0,77 days 00:00:00.000000000,15,5.845924569056796,21.749727351658123,1094105.0,416999.0
