ObservationDate,Confirmed,Recovered,Deaths,Mortality,Recovery
2020-01-31,2.0,0.0,0.0,0.0,0.0
2020-02-01,2.0,0.0,0.0,0.0,0.0
2020-02-02,2.0,0.0,0.0,0.0,0.0
2020-02-03,2.0,0.0,0.0,0.0,0.0
2020-02-04,2.0,0.0,0.0,0.0,0.0
2020-02-05,2.0,0.0,0.0,0.0,0.0
2020-02-06,2.0,0.0,0.0,0.0,0.0
2020-02-07,3.0,0.0,0.0,0.0,0.0
2020-02-08,3.0,0.0,0.0,0.0,0.0
2020-02-09,3.0,0.0,0.0,0.0,0.0
2020-02-10,3.0,0.0,0.0,0.0,0.0
2020-02-11,3.0,0.0,0.0,0.0,0.0
2020-02-12,3.0,0.0,0.0,0.0,0.0
2020-02-13,3.0,0.0,0.0,0.0,0.0
2020-02-14,3.0,0.0,0.0,0.0,0.0
2020-02-15,3.0,0.0,0.0,0.0,0.0
2020-02-16,3.0,0.0,0.0,0.0,0.0
2020-02-17,3.0,0.0,0.0,0.0,0.0
2020-02-18,3.0,0.0,0.0,0.0,0.0
2020-02-19,3.0,0.0,0.0,0.0,0.0
2020-02-20,3.0,0.0,0.0,0.0,0.0
2020-02-21,20.0,0.0,1.0,5.0,0.0
2020-02-22,62.0,1.0,2.0,3.225806451612903,1.6129032258064515
2020-02-23,155.0,2.0,3.0,1.935483870967742,1.2903225806451613
2020-02-24,229.0,1.0,7.0,3.056768558951965,0.43668122270742354
2020-02-25,322.0,1.0,10.0,3.1055900621118013,0.3105590062111801
2020-02-26,453.0,3.0,12.0,2.6490066225165565,0.6622516556291391
2020-02-27,655.0,45.0,17.0,2.595419847328244,6.870229007633588
2020-02-28,888.0,46.0,21.0,2.364864864864865,5.18018018018018
2020-02-29,1128.0,46.0,29.0,2.5709219858156027,4.078014184397164
2020-03-01,1694.0,83.0,34.0,2.0070838252656436,4.899645808736717
2020-03-02,2036.0,149.0,52.0,2.5540275049115913,7.318271119842828
2020-03-03,2502.0,160.0,79.0,3.1574740207833734,6.394884092725819
2020-03-04,3089.0,276.0,107.0,3.463904176108773,8.934930398187117
2020-03-05,3858.0,414.0,148.0,3.8361845515811304,10.730948678071538
2020-03-06,4636.0,523.0,197.0,4.249352890422778,11.281276962899051
2020-03-07,5883.0,589.0,233.0,3.960564337922828,10.011898691143974
2020-03-08,7375.0,622.0,366.0,4.96271186440678,8.433898305084746
2020-03-09,9172.0,724.0,463.0,5.04797208896642,7.893589184474488
2020-03-10,10149.0,724.0,631.0,6.21736131638585,7.133707754458567
2020-03-11,12462.0,1045.0,827.0,6.636173968865351,8.3854918953619
2020-03-12,12462.0,1045.0,827.0,6.636173968865351,8.3854918953619
2020-03-13,17660.0,1439.0,1266.0,7.168742921857304,8.148357870894678
2020-03-14,21157.0,1966.0,1441.0,6.810984544122513,9.292432764569645
2020-03-15,24747.0,2335.0,1809.0,7.309976966905079,9.435487129753103
2020-03-16,27980.0,2749.0,2158.0,7.71265189421015,9.824874910650465
2020-03-17,31506.0,2941.0,2503.0,7.9445185044118585,9.334729892718848
2020-03-18,35713.0,4025.0,2978.0,8.338700193206956,11.270405734606447
2020-03-19,41035.0,4440.0,3405.0,8.29779456561472,10.820031680272937
2020-03-20,47021.0,4440.0,4032.0,8.574892069500862,9.44258948129559
2020-03-21,53578.0,6072.0,4825.0,9.00556198439658,11.333009817462392
2020-03-22,59138.0,7024.0,5476.0,9.259697656329264,11.877303933173256
2020-03-23,63927.0,7432.0,6077.0,9.506155458569932,11.625760633222269
2020-03-24,69176.0,8326.0,6820.0,9.858910604834046,12.035966231062796
2020-03-25,74386.0,9362.0,7503.0,10.086575430860647,12.585701610518107
2020-03-26,80589.0,10361.0,8215.0,10.193698891908324,12.856593331596123
2020-03-27,86498.0,10950.0,9134.0,10.559781729057319,12.659252237045942
2020-03-28,92472.0,12384.0,10023.0,10.838956657150273,13.392161951725928
2020-03-29,97689.0,13030.0,10779.0,11.03399563922243,13.338246885524471
